Lewis HAMILTON, 1, 125.02
Lewis HAMILTON, 2, 91.727
Lewis HAMILTON, 3, 91.526
Lewis HAMILTON, 4, 90.844
Lewis HAMILTON, 5, 90.844
Lewis HAMILTON, 6, 90.634
Lewis HAMILTON, 7, 90.899
Lewis HAMILTON, 8, 91.061
Lewis HAMILTON, 9, 91.132
Lewis HAMILTON, 10, 91.271
Lewis HAMILTON, 11, 91.378
Lewis HAMILTON, 12, 91.716
Lewis HAMILTON, 13, 91.689
Lewis HAMILTON, 14, 91.432
Lewis HAMILTON, 15, 93.651
Lewis HAMILTON, 16, 110.835
Lewis HAMILTON, 17, 90.095
Lewis HAMILTON, 18, 90.057
Lewis HAMILTON, 19, 89.979
Lewis HAMILTON, 20, 89.657
Lewis HAMILTON, 21, 89.850
Lewis HAMILTON, 22, 91.502
Lewis HAMILTON, 23, 90.265
Lewis HAMILTON, 24, 89.861
Lewis HAMILTON, 25, 89.370
Lewis HAMILTON, 26, 89.899
Lewis HAMILTON, 27, 89.568
Lewis HAMILTON, 28, 89.691
Lewis HAMILTON, 29, 89.842
Lewis HAMILTON, 30, 90.118
Lewis HAMILTON, 31, 89.806
Lewis HAMILTON, 32, 89.876
Lewis HAMILTON, 33, 89.774
Lewis HAMILTON, 34, 89.789
Lewis HAMILTON, 35, 91.324
Lewis HAMILTON, 36, 108.781
Lewis HAMILTON, 37, 89.532
Lewis HAMILTON, 38, 90.373
Lewis HAMILTON, 39, 89.221
Lewis HAMILTON, 40, 88.867
Lewis HAMILTON, 41, 88.810
Lewis HAMILTON, 42, 88.793
Lewis HAMILTON, 43, 88.711
Lewis HAMILTON, 44, 88.990
Lewis HAMILTON, 45, 89.023
Lewis HAMILTON, 46, 89.729
Lewis HAMILTON, 47, 89.528
Lewis HAMILTON, 48, 88.814
Lewis HAMILTON, 49, 88.809
Lewis HAMILTON, 50, 88.585
Lewis HAMILTON, 51, 88.531
Lewis HAMILTON, 52, 88.372
Lewis HAMILTON, 53, 88.474
Lewis HAMILTON, 54, 88.634
Lewis HAMILTON, 55, 88.584
Lewis HAMILTON, 56, 89.138
Lewis HAMILTON, 57, 89.666
Lewis HAMILTON, 58, 90.894
